Operation date,Item,Amount,Category
03/04/2023,purchase with card 5402xxxxxxxx0020 son soles-alcobendas,-16.5,Desconocido
03/04/2023,return tar.5402xxxxxxxx0020 02.04 the phone house spain s.l-pozuelo d,357.21,Desconocido
03/04/2023,transfer to concepción gutiérrez,-950,Desconocido
03/04/2023,purchase with card 5402xxxxxxxx0020 restaurante xiongzai-madrid,-27.1,Desconocido
31/03/2023,purchase with card 5402xxxxxxxx0020 the phone house spain s.l-pozuelo de al,-357.21,Desconocido
31/03/2023,purchase with card 5402xxxxxxxx0020 cafe grill la luna-alcobendas,-31.3,Desconocido
31/03/2023,purchase with card 5402xxxxxxxx0020 expalceuta-alcobendas,-0.47,Desconocido
31/03/2023,"salary payment z1 digital product studio, s.l.",1543.19,Desconocido
28/03/2023,purchase with card 5402xxxxxxxx0020 back market-paris,-304.99,Desconocido
28/03/2023,purchase with card 5402xxxxxxxx0020 expalceuta-alcobendas,-12.99,Desconocido
27/03/2023,purchase with card 5402xxxxxxxx0020 el bombon-alcobendas,-2,Desconocido
27/03/2023,purchase with card 5402xxxxxxxx0020 tiendanimal-malaga,-66.99,Desconocido
27/03/2023,purchase with card 5402xxxxxxxx0020 mercadona-san sebastian,-64.22,Desconocido
27/03/2023,purchase with card 5402xxxxxxxx0020 expalceuta-alcobendas,-5.83,Desconocido
24/03/2023,maintenance fee refund,60,Desconocido
24/03/2023,interests and/or commissions,-60,Desconocido
24/03/2023,purchase with card 5402xxxxxxxx0020 alcobendas - gran prix-alcobendas,-3.46,Desconocido
23/03/2023,purchase with card 5402xxxxxxxx0020 expalceuta-alcobendas,-0.95,Desconocido
22/03/2023,purchase with card 5402xxxxxxxx0020 el bombon-alcobendas,-5,Desconocido
21/03/2023,non-euro currency commission,-0.8,Desconocido
21/03/2023,purchase with card 5402xxxxxxxx0020 chatgpt subscription-+14158799686,-22.76,Desconocido
21/03/2023,purchase with card 5402xxxxxxxx0020 carref alcobendas-alcobendas,-51.21,Desconocido
20/03/2023,purchase with card 5402xxxxxxxx0020 xuefeng wu-alcobendas,-5.03,Desconocido
20/03/2023,purchase with card 5402xxxxxxxx0020 expmvaldav-alcobendas,-6.3,Desconocido
